Titulo,Preco,TipoLivro,Avaliacao,nAvaliacao,Paginas,Idioma,Editora,Dimensao,Data,Dias
Bayesian Methods for Hackers: Probabilistic Programming and Bayesian Inference,253.74,Capa Comum,4.4,75,256,Ingles,Addison-Wesley Professional; 1ª edição (2 outubro 2015),17.53 x 1.27 x 22.61 cm,02/10/2015,1984
Bayesian Statistical Methods,620.49,Capa dura,2.9,5,290,Ingles,Chapman and Hall/CRC; 1ª edição (16 abril 2019),15.6 x 1.75 x 23.39 cm,16/04/2019,692
Beginning Mathematica and Wolfram for Data Science: Applications in Data Analysis. Machine Learning. and Neural Networks,464,Capa Comum,,,439,Ingles,Apress; 1st ed. edição (3 fevereiro 2021),17.81 x 2.64 x 25.4 cm,03/02/2021,33
Beginning Programming All-In-One Desk Reference for Dummies,158.47,Capa Comum,4.5,349,696,Ingles,Wiley Publishing; 1ª edição (1 junho 2008),18.54 x 4.32 x 22.86 cm,01/06/2008,4663
Better Data Visualizations – A Guide for Scholars. Researchers. and Wonks,153.12,Capa Comum,4.5,9,320,Ingles,Columbia University Press (9 fevereiro 2021),17.53 x 2.79 x 22.61 cm,09/02/2021,27
Big Data Analytics in Earth. Atmospheric and Ocean Sciences,1031.75,Capa dura,,,400,Ingles,American Geophysical Union; 1ª edição (23 fevereiro 2022),,23/02/2022,-352
Big Data and Machine Learning in Quantitative Investment,326.78,Capa dura,4.4,27,296,Ingles,Wiley; 1ª edição (15 fevereiro 2019),17.53 x 2.03 x 24.89 cm,15/02/2019,752
Big Data and Social Science: A Practical Guide to Methods and Tools: 25,376.71,Capa dura,5,6,376,Ingles,Chapman and Hall/CRC; 1ª edição (9 agosto 2016),,09/08/2016,1672
Big Data Management: Data Governance Principles for Big Data Analytics,396.56,Capa Comum,,,174,Ingles,de Gruyter (9 novembro 2020),16.99 x 0.94 x 24.41 cm,09/11/2020,119
Big Data MBA: Driving Business Strategies with Data Science,195.17,Capa Comum,4.4,28,320,Ingles,Wiley; 1ª edição (2 fevereiro 2016),,02/02/2016,1861
Big Data Para Leigos,62.37,Capa Comum,3.6,14,328,Portugues,Editora Alta Books; 1ª edição (28 dezembro 2015),23.8 x 17.2 x 1.4 cm,28/12/2015,1897
Big Data Science & Analytics: A Hands-On Approach,,Capa Comum,3.7,13,,Ingles,Vpt (15 abril 2016),,15/04/2016,1788
Big Data Science in Finance,596.5,Capa dura,,,336,Ingles,Wiley; 1ª edição (23 março 2021),18.54 x 2.54 x 25.91 cm,23/03/2021,-15
Big Data. Big Dupe: A little book about a big bunch of nonsense,67.58,Capa Comum,4.4,33,96,Ingles,Analytics Press (1 fevereiro 2018),15.24 x 1.02 x 22.86 cm,01/02/2018,1131
Big Data: A Guide to Big Data Trends. Artificial Intelligence. Machine Learning. Predictive Analytics. Internet of Things. Data Science. Data Analytics. Business Intelligence. and Data Mining,103.84,Capa Comum,4.4,10,98,Ingles,Independently Published (28 setembro 2019),15.24 x 0.61 x 22.86 cm,28/09/2019,527
Big Data: A Very Short Introduction,59.08,Capa Comum,4.3,41,152,Ingles,OUP Oxford; Illustrated edição (23 novembro 2017),17.27 x 11.43 x 1.27 cm,23/11/2017,1201
Big Data: Principles and Best Practices of Scalable Realtime Data Systems,424.32,Capa Comum,4.2,61,328,Ingles,,,10/05/2015,2129
Biostatistics for Dummies,112.12,Capa Comum,4.4,229,408,Ingles,For Dummies; 1ª edição (29 julho 2013),18.54 x 2.79 x 23.11 cm,29/07/2013,2779
Bitcoin and Cryptocurrency Technologies – A Comprehensive Introduction,358.53,Capa dura,4.5,100,336,Ingles,Princeton University Press; Illustrated edição (9 agosto 2016),18.03 x 2.79 x 25.65 cm,09/08/2016,1672
Blockchain and Clinical Trial: Securing Patient Data,899.01,Capa dura,,,267,Ingles,Springer; 1st ed. 2019 edição (9 abril 2019),16.41 x 1.88 x 23.85 cm,09/04/2019,699
Blockchain and the Law – The Rule of Code,108.98,Capa Comum,4.5,44,312,Ingles,Harvard University Press; Reprint edição (27 setembro 2019),13.72 x 2.29 x 20.83 cm,27/09/2019,528
Build A Career in Data Science,289.23,Capa Comum,4.8,28,354,Ingles,Manning Publications; 1ª edição (15 junho 2020),18.73 x 2.03 x 23.5 cm,15/06/2020,266
Building a Modern Data Platform: Pursuit of Modern Big Data Systems,1137.24,Capa dura,,,400,Ingles,Wiley; 1ª edição (31 agosto 2021),,31/08/2021,-176
Building Machine Learning Powered Applications: Going from Idea to Product,333.17,Capa Comum,4.4,79,250,Ingles,O?Reilly (31 janeiro 2020),17.78 x 1.4 x 23.34 cm,31/01/2020,402
Building Microservices: Designing Fine-Grained Systems,261.8,Capa Comum,4.5,544,280,Ingles,O'Reilly Media; 1ª edição (20 fevereiro 2015),17.8 x 1.49 x 23.3 cm,20/02/2015,2208
Business Data Science: Combining Machine Learning and Economics to Optimize. Automate. and Accelerate Business Decisions,181.52,Capa dura,4.4,79,352,Ingles,McGraw-Hill Education; 1ª edição (21 agosto 2019),3.02 x 18.73 x 23.5 cm,21/08/2019,565
Business Intelligence. Analytics. and Data Science: A Managerial Perspective,866.51,Capa Comum,4.5,143,512,Ingles,Pearson; 4ª edição (13 janeiro 2017),24.89 x 19.81 x 1.78 cm,13/01/2017,1515
Business Intelligence: The Ultimate Guide to BI. Artificial Intelligence. Machine Learning. Big Data. Cybersecurity. Data Science. and Predictive Analytics,110.71,Capa Comum,3.8,4,198,Ingles,Independently Published (13 janeiro 2020),15.24 x 1.24 x 22.86 cm,13/01/2020,420
Calling Bullshit: The Art of Skepticism in a Data-Driven World,168.65,Capa dura,4.6,483,336,Ingles,Random House; Illustrated edição (4 agosto 2020),16.51 x 2.79 x 24.23 cm,04/08/2020,216
Causal Inference in Statistics: A Primer,289.12,Capa Comum,4.6,124,156,Ingles,Wiley; 1ª edição (4 março 2016),16.76 x 1.52 x 24.13 cm,04/03/2016,1830
Causality and Modern Science: Third Revised Edition,84.58,Capa Comum,5,13,448,Ingles,Dover Publications; 3rd Revised edition (2 novembro 2011),14.48 x 2.11 x 20.93 cm,02/11/2011,3414
Ciência dos Dados nas Organizações. Aplicações em Python,,Capa Comum,4,2,336,Portugues,FCA; 1ª edição (19 dezembro 2017),,19/12/2017,1175
Ciência e Engenharia de Materiais - Uma Introdução,264.5,Capa Comum,4.9,85,912,Portugues,LTC; 9ª edição (26 julho 2016),27.8 x 20.6 x 4 cm,26/07/2016,1686
Clinical Prediction Models: A Practical Approach to Development. Validation. and Updating,373.07,Capa Comum,4.3,7,594,Ingles,Springer; 2nd ed. 2019 edição (14 agosto 2020),15.6 x 3.05 x 23.39 cm,14/08/2020,206
Collect. Combine. and Transform Data Using Power Query in Excel and Power BI,201.69,Capa Comum,4.6,228,432,Ingles,Microsoft Press; 1ª edição (25 outubro 2018),18.92 x 3.05 x 22.61 cm,25/10/2018,865
Community Ecology: Analytical Methods Using R and Excel,605,Capa Comum,4.2,13,556,Ingles,Pelagic Publishing (1 fevereiro 2014),16.99 x 2.92 x 24.41 cm,01/02/2014,2592
